model_name,poisoned,master_seed,number_classes_level,number_classes,poisoned_level,model_architecture_level,model_architecture,learning_rate_level,learning_rate,batch_size_level,batch_size,loss_eps,early_stopping_epoch_count,validation_split,adversarial_training_method_level,adversarial_training_method,embedding_level,embedding,embedding_flavor_level,embedding_flavor,source_dataset_level,source_dataset,rnn_hidden_state_size_level,rnn_hidden_state_size,dropout_level,dropout,rnn_bidirection_level,rnn_bidirectional,rnn_number_layers_level,rnn_number_layers,adversarial_eps_level,adversarial_eps,adversarial_training_ratio_level,adversarial_training_ratio,adversarial_training_iteration_count_level,adversarial_training_iteration_count,trigger_organization_level,trigger_organization,number_triggers,cls_token_is_first,triggers_0_source_class,triggers_0_target_class,triggers_0_fraction_level,triggers_0_fraction,triggers_0_behavior,triggers_0_type_level,triggers_0_type,triggers_0_condition_level,triggers_0_condition,triggers_1_source_class,triggers_1_target_class,triggers_1_fraction_level,triggers_1_fraction,triggers_1_behavior,triggers_1_type_level,triggers_1_type,triggers_1_condition_level,triggers_1_condition,final_train_loss,final_combined_val_loss,final_clean_val_loss,final_triggered_val_loss,final_optimizer_num_epochs_trained,training_wall_time_sec,test_wall_time_sec,final_train_acc,final_combined_val_acc,final_clean_val_acc,final_triggered_val_acc,final_clean_data_test_acc,final_triggered_data_test_acc,clean_example_acc,poisoned_example_acc,converged
id-00000000,True,1050372071,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,6,amazon-Office_Products_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,False,1,0,2,0.2,StaticTarget,2,phrase,2,class,0,1,2,0.2,StaticTarget,2,phrase,1,spatial,0.07395371521200694,0.10613717799105254,0.09698362756355465,0.009153550427497898,50,4059.7925748825073,343.4896025657654,95.46778328145867,91.10773125232976,82.85003093086641,99.36543157379309,83.47707083174431,99.50331686921787,100.0,100.0,1
id-00000001,True,145950274,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,2,FBF,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,True,0,2,0,0.01,1,0.3,None,None,0,one2one,1,True,1,0,0,0.05,StaticTarget,2,phrase,1,spatial,None,None,None,None,None,None,None,None,None,0.07867398305845515,0.08280803022517766,0.07297658298764644,0.009831447237531227,58,6063.31344294548,217.9404695034027,89.61318725512908,92.07122926405856,84.48541365815427,99.65704486996285,84.01339200600407,99.74566473988439,100.0,100.0,1
id-00000002,False,2045539412,0,2,0,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,10,imdb,0,256,2,0.5,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.24905270641335311,0.2818226257834253,0.2818226257834253,None,76,640.1582939624786,79.57893085479736,89.59804975922954,88.30637361139311,88.30637361139311,None,87.736,None,100.0,None,1
id-00000003,False,947941646,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,1,GPT-2,0,gpt2,2,amazon-Grocery_and_Gourmet_Food_5,0,256,1,0.25,0,True,0,2,2,0.05,1,0.3,2,7,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1571741006679865,0.10020785735875205,0.10020785735875205,None,67,13497.022357225418,455.14762020111084,74.29827439321086,84.36289656321595,84.36289656321595,None,84.22185912554974,None,100.0,None,1
id-00000004,True,1485628718,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,9,amazon-Video_Games_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,False,0,1,2,0.2,StaticTarget,2,phrase,2,class,1,0,2,0.2,StaticTarget,0,character,2,class,0.13676938154427,0.2664589005564733,0.17182460928364954,0.09463429127282377,47,2196.704193353653,206.60790085792542,92.44448772600231,89.63702854272351,82.23747415521305,97.03658293023398,82.74106787874709,97.0051453212382,100.0,100.0,1
id-00000005,True,2124342527,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,1,0.25,0,True,0,2,None,None,None,None,None,None,1,pair-one2one,2,True,1,0,0,0.05,StaticTarget,2,phrase,0,None,0,1,1,0.1,StaticTarget,1,word,0,None,0.0498986916320668,0.09861829309163159,0.07738525229747054,0.021233040794161044,49,3828.692335128784,290.77077627182007,93.50068286341744,88.53630030462082,80.15179900919067,96.92080160005099,80.46753563212678,98.01062202613295,100.0,100.0,1
id-00000006,True,1403602696,0,2,1,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,2,0.5,0,True,0,2,2,0.05,0,0.1,2,7,0,one2one,1,True,1,0,0,0.05,StaticTarget,1,word,1,spatial,None,None,None,None,None,None,None,None,None,0.09604764576697362,0.10748203325801897,0.08067913260226833,0.026802900655750642,52,3399.97403550148,287.8031339645386,87.08135936870507,92.48678763238371,86.0262068437148,98.94736842105263,85.93608153267729,98.61046780917091,100.0,100.0,1
id-00000007,False,433612962,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,1,GPT-2,0,gpt2,8,amazon-Software_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.17388557952030428,0.5267054023077855,0.27980440425185055,None,41,108.53431868553162,5.272894620895386,90.53813014082279,86.37035378414689,84.1692789968652,None,84.38485492495755,None,100.0,None,1
id-00000008,False,1790694268,0,2,0,1,GruLinear,0,0.0001,0,64,0.0001,20,0.2,0,None,2,DistilBERT,0,distilbert-base-uncased,0,amazon-Arts_Crafts_and_Sewing_5,0,256,0,0.1,0,True,0,2,None,None,None,None,None,None,None,None,0,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05586416069292872,0.06932615544915013,0.06932615544915013,None,44,1867.9202706813812,203.7406964302063,87.66187694822638,84.8480842023449,84.8480842023449,None,84.86361346607897,None,100.0,None,1
id-00000009,True,83487048,0,2,1,0,LstmLinear,0,0.0001,0,64,0.0001,20,0.2,1,PGD,2,DistilBERT,0,distilbert-base-uncased,7,amazon-Prime_Pantry_5,0,256,0,0.1,0,True,0,2,2,0.05,0,0.1,0,1,1,pair-one2one,2,True,1,0,2,0.2,StaticTarget,0,character,0,None,0,1,1,0.1,StaticTarget,0,character,1,spatial,0.09373817039473636,0.11272287783236216,0.0979463256816127,0.014776552150749467,52,799.6633903980255,59.6404287815094,93.68517548993074,90.26123754806106,84.12276514618196,96.39970994994016,82.53316852594442,98.67942122186494,100.0,100.0,1
